(0, 0)
(2, 1)
(4, 0)
(6, 2)
(8, 1)
(10, 3)
(12, 0)
(14, 1)
(16, 0)
(18, 1)
(20, 0)
(31, 1)
(33, 3)
(35, 2)
(37, 3)
(39, 2)
(41, 0)
(43, 3)
(44, 2)
(46, 0)
(48, 0)
(50, 0)
(62, 0)
(64, 2)
(66, 1)
(68, 2)
(70, 3)
(72, 1)
(73, 2)
(75, 3)
(77, 2)
(78, 3)
(80, 3)
(95, 0)
(97, 1)
(99, 0)
average waiting time 5.50 
